# Job running on    1 total cores
# File reading...  : ../2.band/WAVECAR                                                                                                                                                                                                                                               
# TOTAL RECORD LENGTH =     38160
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    400.0000
# NKPOINT          :     48
#  K-GRID          :     12   X  12
# NBANDS           :     32
# RECIVEC B1 (A^-1):      1.981056    -1.143763     0.000000
# RECIVEC B2       :      0.000000     2.287527     0.000000
# RECIVEC B3       :      0.000000    -0.000000     0.418879
#  dk^2 = |dk1xk2| =      0.031470
  
# Chern Number for the BAND :   12
# Chern Number is sum of Berry Curvature over 1BZ
# Chern Number =         23510.2502
# Berry curvature using kubo for BAND  index n   12
# Omega_n=      |P(k,s,nm,+)|^2-|P(k,s,nm,-)|^2
#         sum_n -------------------------------
#        (n/=m) |energy(k,s,n)-energy(k,s,m)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,nm,+ or -) = 1/sqrt(2)[p_x(k,nm,s) +(or -) i*p_y(k,nm,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,nm,s)=<psi(k,n,s)|-i*hbar*1/dx(y)|psi(k,m,s)>
# (cart) kx        ky        kz(A^-1)   BERRYKUBO(A^2),          (recip)kx        ky        kz
  -1.751371   3.829122   0.000000                  43.9118              -0.884059   1.231884   0.000000
  -1.780081   3.779393   0.000000                  35.4891              -0.898552   1.202899   0.000000
  -1.808792   3.729664   0.000000                   9.1138              -0.913044   1.173913   0.000000
  -1.837503   3.679935   0.000000                   4.4730              -0.927537   1.144928   0.000000
  -1.866213   3.630206   0.000000                   7.2356              -0.942030   1.115942   0.000000
  -1.894924   3.580477   0.000000                  -1.3997              -0.956522   1.086957   0.000000
  -1.923635   3.530748   0.000000                   0.4907              -0.971015   1.057971   0.000000
  -1.952345   3.481019   0.000000                  -5.2828              -0.985507   1.028986   0.000000
  -1.981056   3.431290   0.000000             4392417.0322              -1.000000   1.000000   0.000000
  -1.981056   3.431290   0.000000              301513.9811              -1.000000   1.000000   0.000000
  -2.009767   3.381561   0.000000                   5.3217              -1.014493   0.971014   0.000000
  -2.038477   3.331832   0.000000                  -0.4908              -1.028985   0.942029   0.000000
  -2.067188   3.282103   0.000000                   1.3995              -1.043478   0.913043   0.000000
  -2.095899   3.232374   0.000000                  -7.2355              -1.057970   0.884058   0.000000
  -2.124609   3.182645   0.000000                  -4.4717              -1.072463   0.855072   0.000000
  -2.153320   3.132916   0.000000                  -9.1139              -1.086956   0.826087   0.000000
  -2.182031   3.083187   0.000000                 -35.4891              -1.101448   0.797101   0.000000
  -2.210741   3.033458   0.000000                 -43.9118              -1.115941   0.768116   0.000000
  -2.239452   2.983728   0.000000                 -70.6170              -1.130433   0.739130   0.000000
  -2.268163   2.933999   0.000000                -107.6595              -1.144926   0.710145   0.000000
  -2.296873   2.884270   0.000000                -111.4100              -1.159419   0.681159   0.000000
  -2.325584   2.834541   0.000000                 -65.7646              -1.173911   0.652174   0.000000
  -2.354295   2.784812   0.000000                 -30.3725              -1.188404   0.623188   0.000000
  -2.383005   2.735083   0.000000                 -14.6590              -1.202897   0.594203   0.000000
  -2.411716   2.685354   0.000000                  -7.9009              -1.217389   0.565217   0.000000
  -2.440427   2.635625   0.000000                  -4.3943              -1.231882   0.536232   0.000000
  -2.469138   2.585896   0.000000                  -1.8657              -1.246374   0.507246   0.000000
  -2.497848   2.536167   0.000000                   1.1296              -1.260867   0.478261   0.000000
  -2.526559   2.486438   0.000000                 240.2181              -1.275360   0.449275   0.000000
  -2.555270   2.436709   0.000000                 214.8452              -1.289852   0.420290   0.000000
  -2.583980   2.386980   0.000000                  82.1718              -1.304345   0.391304   0.000000
  -2.612691   2.337251   0.000000                   9.3493              -1.318837   0.362319   0.000000
  -2.641402   2.287522   0.000000                   2.5061              -1.333330   0.333333   0.000000
   0.660345   3.431294   0.000000                  -2.5061               0.333330   1.666667   0.000000
   0.631635   3.381565   0.000000                  -9.3492               0.318837   1.637681   0.000000
   0.602924   3.331836   0.000000                 -82.1717               0.304345   1.608696   0.000000
   0.574213   3.282107   0.000000                -214.8451               0.289852   1.579710   0.000000
   0.545503   3.232378   0.000000                -240.2178               0.275360   1.550725   0.000000
   0.516792   3.182649   0.000000                  -1.1298               0.260867   1.521739   0.000000
   0.488081   3.132920   0.000000                   1.8658               0.246374   1.492754   0.000000
   0.459371   3.083191   0.000000                   4.3943               0.231882   1.463768   0.000000
   0.430660   3.033462   0.000000                   7.9009               0.217389   1.434783   0.000000
   0.401949   2.983733   0.000000                  14.6590               0.202897   1.405797   0.000000
   0.373239   2.934004   0.000000                  30.3725               0.188404   1.376812   0.000000
   0.344528   2.884275   0.000000                  65.7647               0.173911   1.347826   0.000000
   0.315817   2.834546   0.000000                 111.4100               0.159419   1.318841   0.000000
   0.287107   2.784817   0.000000                 107.6595               0.144926   1.289855   0.000000
   0.258396   2.735088   0.000000                  70.6170               0.130433   1.260870   0.000000
   0.229685   2.685359   0.000000                  43.9118               0.115941   1.231884   0.000000
   0.200975   2.635630   0.000000                  35.4891               0.101448   1.202899   0.000000
   0.172264   2.585901   0.000000                   9.1138               0.086956   1.173913   0.000000
   0.143553   2.536172   0.000000                   4.4730               0.072463   1.144928   0.000000
   0.114843   2.486443   0.000000                   7.2356               0.057970   1.115942   0.000000
   0.086132   2.436714   0.000000                  -1.3997               0.043478   1.086957   0.000000
   0.057421   2.386985   0.000000                   0.4907               0.028985   1.057971   0.000000
   0.028711   2.337256   0.000000                  -5.2828               0.014493   1.028986   0.000000
   0.000000   2.287527   0.000000             4392417.0322               0.000000   1.000000   0.000000
   0.000000   2.287527   0.000000              301513.9811               0.000000   1.000000   0.000000
  -0.028711   2.237798   0.000000                   5.3217              -0.014493   0.971014   0.000000
  -0.057421   2.188068   0.000000                  -0.4908              -0.028985   0.942029   0.000000
  -0.086132   2.138339   0.000000                   1.3995              -0.043478   0.913043   0.000000
  -0.114843   2.088610   0.000000                  -7.2355              -0.057970   0.884058   0.000000
  -0.143553   2.038881   0.000000                  -4.4717              -0.072463   0.855072   0.000000
  -0.172264   1.989152   0.000000                  -9.1139              -0.086956   0.826087   0.000000
  -0.200975   1.939423   0.000000                 -35.4891              -0.101448   0.797101   0.000000
  -0.229685   1.889694   0.000000                 -43.9118              -0.115941   0.768116   0.000000
  -0.258396   1.839965   0.000000                 -70.6170              -0.130433   0.739130   0.000000
  -0.287107   1.790236   0.000000                -107.6595              -0.144926   0.710145   0.000000
  -0.315817   1.740507   0.000000                -111.4100              -0.159419   0.681159   0.000000
  -0.344528   1.690778   0.000000                 -65.7646              -0.173911   0.652174   0.000000
  -0.373239   1.641049   0.000000                 -30.3725              -0.188404   0.623188   0.000000
  -0.401949   1.591320   0.000000                 -14.6590              -0.202897   0.594203   0.000000
  -0.430660   1.541591   0.000000                  -7.9009              -0.217389   0.565217   0.000000
  -0.459371   1.491862   0.000000                  -4.3943              -0.231882   0.536232   0.000000
  -0.488081   1.442133   0.000000                  -1.8657              -0.246374   0.507246   0.000000
  -0.516792   1.392404   0.000000                   1.1296              -0.260867   0.478261   0.000000
  -0.545503   1.342675   0.000000                 240.2181              -0.275360   0.449275   0.000000
  -0.574213   1.292946   0.000000                 214.8452              -0.289852   0.420290   0.000000
  -0.602924   1.243217   0.000000                  82.1718              -0.304345   0.391304   0.000000
  -0.631635   1.193488   0.000000                   9.3493              -0.318837   0.362319   0.000000
  -0.660345   1.143759   0.000000                   2.5061              -0.333330   0.333333   0.000000
   2.641402   2.287531   0.000000                  -2.5061               1.333330   1.666667   0.000000
   2.612691   2.237802   0.000000                  -9.3492               1.318837   1.637681   0.000000
   2.583980   2.188073   0.000000                 -82.1717               1.304345   1.608696   0.000000
   2.555270   2.138344   0.000000                -214.8451               1.289852   1.579710   0.000000
   2.526559   2.088615   0.000000                -240.2178               1.275360   1.550725   0.000000
   2.497848   2.038886   0.000000                  -1.1298               1.260867   1.521739   0.000000
   2.469138   1.989157   0.000000                   1.8658               1.246374   1.492754   0.000000
   2.440427   1.939428   0.000000                   4.3943               1.231882   1.463768   0.000000
   2.411716   1.889699   0.000000                   7.9009               1.217389   1.434783   0.000000
   2.383005   1.839970   0.000000                  14.6590               1.202897   1.405797   0.000000
   2.354295   1.790241   0.000000                  30.3725               1.188404   1.376812   0.000000
   2.325584   1.740512   0.000000                  65.7647               1.173911   1.347826   0.000000
   2.296873   1.690783   0.000000                 111.4100               1.159419   1.318841   0.000000
   2.268163   1.641054   0.000000                 107.6595               1.144926   1.289855   0.000000
   2.239452   1.591325   0.000000                  70.6170               1.130433   1.260870   0.000000
   2.210741   1.541596   0.000000                  43.9118               1.115941   1.231884   0.000000
   2.182031   1.491867   0.000000                  35.4891               1.101448   1.202899   0.000000
   2.153320   1.442137   0.000000                   9.1138               1.086956   1.173913   0.000000
   2.124609   1.392408   0.000000                   4.4730               1.072463   1.144928   0.000000
   2.095899   1.342679   0.000000                   7.2356               1.057970   1.115942   0.000000
   2.067188   1.292950   0.000000                  -1.3997               1.043478   1.086957   0.000000
   2.038477   1.243221   0.000000                   0.4907               1.028985   1.057971   0.000000
   2.009767   1.193492   0.000000                  -5.2828               1.014493   1.028986   0.000000
   1.981056   1.143763   0.000000             4392417.0322               1.000000   1.000000   0.000000
   1.981056   1.143763   0.000000              301513.9811               1.000000   1.000000   0.000000
   1.952345   1.094034   0.000000                   5.3217               0.985507   0.971014   0.000000
   1.923635   1.044305   0.000000                  -0.4908               0.971015   0.942029   0.000000
   1.894924   0.994576   0.000000                   1.3995               0.956522   0.913043   0.000000
   1.866213   0.944847   0.000000                  -7.2355               0.942030   0.884058   0.000000
   1.837503   0.895118   0.000000                  -4.4717               0.927537   0.855072   0.000000
   1.808792   0.845389   0.000000                  -9.1139               0.913044   0.826087   0.000000
   1.780081   0.795660   0.000000                 -35.4891               0.898552   0.797101   0.000000
   1.751371   0.745931   0.000000                 -43.9118               0.884059   0.768116   0.000000
   1.722660   0.696202   0.000000                 -70.6170               0.869567   0.739130   0.000000
   1.693949   0.646473   0.000000                -107.6595               0.855074   0.710145   0.000000
   1.665239   0.596744   0.000000                -111.4100               0.840581   0.681159   0.000000
   1.636528   0.547015   0.000000                 -65.7646               0.826089   0.652174   0.000000
   1.607817   0.497286   0.000000                 -30.3725               0.811596   0.623188   0.000000
   1.579107   0.447557   0.000000                 -14.6590               0.797103   0.594203   0.000000
   1.550396   0.397828   0.000000                  -7.9009               0.782611   0.565217   0.000000
   1.521685   0.348099   0.000000                  -4.3943               0.768118   0.536232   0.000000
   1.492975   0.298370   0.000000                  -1.8657               0.753626   0.507246   0.000000
   1.464264   0.248641   0.000000                   1.1296               0.739133   0.478261   0.000000
   1.435553   0.198912   0.000000                 240.2181               0.724640   0.449275   0.000000
   1.406843   0.149183   0.000000                 214.8452               0.710148   0.420290   0.000000
   1.378132   0.099453   0.000000                  82.1718               0.695655   0.391304   0.000000
   1.349421   0.049724   0.000000                   9.3493               0.681163   0.362319   0.000000
   1.320711  -0.000005   0.000000                   2.5061               0.666670   0.333333   0.000000
